from,to,ndvi_mean,ndwi_mean,year,month,quarter,week,year_month,month_week
2018-12-17 00:00:00+00:00,2018-12-22 00:00:00+00:00,0.40984053451688207,-0.4465260233173745,2018,12,4,4,2018-12,12-4
2018-12-22 00:00:00+00:00,2018-12-27 00:00:00+00:00,0.383433722401138,-0.4350658701245949,2018,12,4,4,2018-12,12-4
2018-12-27 00:00:00+00:00,2019-01-01 00:00:00+00:00,0.37998006946150326,-0.44001872208562187,2018,12,4,5,2018-12,12-5
2019-01-01 00:00:00+00:00,2019-01-06 00:00:00+00:00,0.1415332572935456,-0.1326562275264236,2019,1,1,1,2019-01,1-1
2019-01-06 00:00:00+00:00,2019-01-11 00:00:00+00:00,0.168588428826574,-0.16672548565204665,2019,1,1,1,2019-01,1-1
2019-01-11 00:00:00+00:00,2019-01-16 00:00:00+00:00,0.3170048850083307,-0.3768527476269233,2019,1,1,2,2019-01,1-2
2019-01-16 00:00:00+00:00,2019-01-21 00:00:00+00:00,0.31087167229582363,-0.38057112359944617,2019,1,1,3,2019-01,1-3
2019-01-21 00:00:00+00:00,2019-01-26 00:00:00+00:00,0.3085975041009168,-0.379777013074868,2019,1,1,4,2019-01,1-4
2019-01-26 00:00:00+00:00,2019-01-31 00:00:00+00:00,0.2756480675674655,-0.34651625210209736,2019,1,1,4,2019-01,1-4
2019-01-31 00:00:00+00:00,2019-02-05 00:00:00+00:00,0.2614319573126372,-0.34751709436227424,2019,1,1,5,2019-01,1-5
2019-02-05 00:00:00+00:00,2019-02-10 00:00:00+00:00,0.2717649285121968,-0.3651272942862485,2019,2,1,1,2019-02,2-1
2019-02-10 00:00:00+00:00,2019-02-15 00:00:00+00:00,0.2579048433854299,-0.3541856324187179,2019,2,1,1,2019-02,2-1
2019-02-15 00:00:00+00:00,2019-02-20 00:00:00+00:00,0.24207748656287956,-0.3338550521504017,2019,2,1,2,2019-02,2-2
2019-02-20 00:00:00+00:00,2019-02-25 00:00:00+00:00,0.0917815684799824,-0.10677451420532322,2019,2,1,3,2019-02,2-3
2019-02-25 00:00:00+00:00,2019-03-02 00:00:00+00:00,0.21709414246486725,-0.3030383506861117,2019,2,1,4,2019-02,2-4
2019-03-02 00:00:00+00:00,2019-03-07 00:00:00+00:00,0.22860818377069833,-0.3306683236141804,2019,3,1,1,2019-03,3-1
2019-03-07 00:00:00+00:00,2019-03-12 00:00:00+00:00,0.23351256611506221,-0.34788889117440314,2019,3,1,2,2019-03,3-2
2019-03-12 00:00:00+00:00,2019-03-17 00:00:00+00:00,0.1776552337815776,-0.25902225208877955,2019,3,1,3,2019-03,3-3
2019-03-17 00:00:00+00:00,2019-03-22 00:00:00+00:00,0.14009730685878866,-0.19197284333312387,2019,3,1,3,2019-03,3-3
2019-03-22 00:00:00+00:00,2019-03-27 00:00:00+00:00,0.003617816137590182,0.020016215131311514,2019,3,1,4,2019-03,3-4
2019-03-27 00:00:00+00:00,2019-04-01 00:00:00+00:00,0.226402011656324,-0.33562194504382853,2019,3,1,5,2019-03,3-5
2019-04-01 00:00:00+00:00,2019-04-06 00:00:00+00:00,0.15930050354586087,-0.21330978924826552,2019,4,2,1,2019-04,4-1
2019-04-06 00:00:00+00:00,2019-04-11 00:00:00+00:00,0.22944815387159379,-0.31767989512927564,2019,4,2,1,2019-04,4-1
2019-04-11 00:00:00+00:00,2019-04-16 00:00:00+00:00,0.1841146820410307,-0.2483821614634926,2019,4,2,2,2019-04,4-2
2019-04-16 00:00:00+00:00,2019-04-21 00:00:00+00:00,0.2423479396203254,-0.33351602014878046,2019,4,2,3,2019-04,4-3
2019-04-21 00:00:00+00:00,2019-04-26 00:00:00+00:00,0.21941349089095324,-0.287081603090974,2019,4,2,3,2019-04,4-3
2019-04-26 00:00:00+00:00,2019-05-01 00:00:00+00:00,0.26932698594700233,-0.3658952623559205,2019,4,2,4,2019-04,4-4
2019-05-01 00:00:00+00:00,2019-05-06 00:00:00+00:00,0.2463113899000233,-0.34169863923742955,2019,5,2,1,2019-05,5-1
2019-05-06 00:00:00+00:00,2019-05-11 00:00:00+00:00,0.01153706930898526,0.015468991037696198,2019,5,2,2,2019-05,5-2
2019-05-11 00:00:00+00:00,2019-05-16 00:00:00+00:00,0.1890150786965944,-0.222912332352989,2019,5,2,2,2019-05,5-2
2019-05-16 00:00:00+00:00,2019-05-21 00:00:00+00:00,0.297872562830384,-0.3611782124936051,2019,5,2,3,2019-05,5-3
2019-05-21 00:00:00+00:00,2019-05-26 00:00:00+00:00,0.04996565401931463,-0.033564007948342744,2019,5,2,4,2019-05,5-4
2019-05-26 00:00:00+00:00,2019-05-31 00:00:00+00:00,0.22742930853534352,-0.2540336666759596,2019,5,2,4,2019-05,5-4
2019-05-31 00:00:00+00:00,2019-06-05 00:00:00+00:00,0.3059701677590064,-0.3703798823116453,2019,5,2,5,2019-05,5-5
2019-06-05 00:00:00+00:00,2019-06-10 00:00:00+00:00,0.23727546387950188,-0.24582776463609,2019,6,2,1,2019-06,6-1
2019-06-10 00:00:00+00:00,2019-06-15 00:00:00+00:00,0.2539326050443229,-0.2472203717076777,2019,6,2,2,2019-06,6-2
2019-06-15 00:00:00+00:00,2019-06-20 00:00:00+00:00,0.1094810597283264,-0.08197843465861082,2019,6,2,2,2019-06,6-2
2019-06-20 00:00:00+00:00,2019-06-25 00:00:00+00:00,0.29316315146819183,-0.271746601727057,2019,6,2,3,2019-06,6-3
2019-06-25 00:00:00+00:00,2019-06-30 00:00:00+00:00,0.028015251716252586,0.002840349941886005,2019,6,2,4,2019-06,6-4
2019-06-30 00:00:00+00:00,2019-07-05 00:00:00+00:00,0.03364553883346086,-0.02366504228035897,2019,6,2,4,2019-06,6-4
2019-07-05 00:00:00+00:00,2019-07-10 00:00:00+00:00,0.4343394417968276,-0.4176222726205954,2019,7,3,1,2019-07,7-1
2019-07-10 00:00:00+00:00,2019-07-15 00:00:00+00:00,0.415240250368709,-0.41223484284329426,2019,7,3,2,2019-07,7-2
